


--------------------------------
ringCenter
start time：2019-02-04 18:42:40    end time：2019-05-05 18:42:40
-----time---------------value---



2019-04-23 09:01:47       0
2019-04-23 09:01:47       0
2019-04-23 14:34:59       0
2019-04-23 14:35:26       0
2019-04-23 14:35:40       0
2019-04-23 14:35:40       0
2019-04-24 12:06:39       0
2019-04-24 16:07:02       1
2019-04-24 16:07:05       2
2019-04-24 16:07:09       3
2019-04-24 16:07:09       3
2019-04-24 16:07:09       3
2019-04-24 16:56:45       0
2019-04-24 16:56:45       0
2019-04-24 16:56:45       0
2019-04-24 16:56:45       0
2019-04-24 21:05:20       0
2019-04-26 17:04:01       1
2019-04-26 17:04:10       2
2019-04-26 17:05:25       3
2019-04-26 17:05:52       2
2019-04-26 17:15:01       1
2019-04-26 17:15:04       2
2019-04-26 17:15:07       3
2019-04-26 17:15:07       2
2019-04-26 17:25:59       3
2019-04-26 17:26:00       2
2019-04-26 17:26:05       1
2019-04-26 19:05:39       2
2019-04-26 19:05:42       1
2019-04-27 09:51:52       0
2019-04-27 09:52:47       0
2019-04-27 10:05:18       0
2019-04-27 10:12:06       1
2019-04-27 10:14:39       0
2019-04-28 09:54:38       0



--------------------------------
ringHall
start time：2019-02-04 18:42:40    end time：2019-05-05 18:42:40
-----time---------------value---



2019-04-23 11:18:31       15
2019-04-23 12:30:55       17
2019-04-23 14:34:59       0
2019-04-23 14:35:26       0
2019-04-23 14:35:40       0
2019-04-24 11:20:23       20
2019-04-24 15:53:17       45
2019-04-24 15:56:14       44
2019-04-24 15:56:50       45
2019-04-24 15:57:56       46
2019-04-24 15:58:15       47
2019-04-24 15:58:35       48
2019-04-24 15:59:20       49
2019-04-24 16:03:25       50
2019-04-24 16:03:32       51
2019-04-24 16:03:55       52
2019-04-24 16:03:59       51
2019-04-24 16:04:02       50
2019-04-24 16:04:05       49
2019-04-24 16:04:10       48
2019-04-24 16:04:14       47
2019-04-24 16:04:31       46
2019-04-24 16:04:35       45
2019-04-24 16:04:40       44
2019-04-24 16:04:43       43
2019-04-24 16:04:49       42
2019-04-24 16:04:55       41
2019-04-24 16:05:43       40
2019-04-24 16:05:46       39
2019-04-24 16:05:50       38
2019-04-24 16:05:53       37
2019-04-24 16:05:56       36
2019-04-24 16:05:59       35
2019-04-24 16:06:05       34
2019-04-24 16:06:11       33
2019-04-24 16:06:16       32
2019-04-24 16:06:22       31
2019-04-24 16:06:25       30
2019-04-24 16:06:28       29
2019-04-24 16:06:31       28
2019-04-24 16:06:35       27
2019-04-24 16:06:40       26
2019-04-24 16:07:02       25
2019-04-24 16:07:05       24
2019-04-24 16:07:09       23
2019-04-24 16:11:14       22
2019-04-24 16:11:20       21
2019-04-24 16:11:31       20
2019-04-24 16:11:38       19
2019-04-24 16:11:55       18
2019-04-24 16:12:02       17
2019-04-24 16:12:13       16
2019-04-24 16:12:20       15
2019-04-24 16:12:31       14
2019-04-24 16:12:40       13
2019-04-24 16:12:53       12
2019-04-24 16:13:01       11
2019-04-24 16:13:07       10
2019-04-24 16:13:13       9
2019-04-24 16:13:19       8
2019-04-24 16:13:25       7
2019-04-24 16:13:37       6
2019-04-24 16:13:43       5
2019-04-24 16:13:50       6
2019-04-24 16:13:56       7
2019-04-24 16:13:56       7
2019-04-24 16:40:50       8
2019-04-24 16:40:55       9
2019-04-24 16:41:04       10
2019-04-24 16:41:11       11
2019-04-24 16:41:22       10
2019-04-24 16:41:38       9
2019-04-24 16:41:47       8
2019-04-24 16:41:55       7
2019-04-24 16:42:04       6
2019-04-24 16:42:07       5
2019-04-24 16:42:11       4
2019-04-24 16:42:19       3
2019-04-24 16:42:25       2
2019-04-24 16:42:31       1
2019-04-24 16:42:37       0
2019-04-24 16:42:44       -1
2019-04-24 16:42:58       -2
2019-04-24 16:43:05       -3
2019-04-24 16:43:08       -4
2019-04-24 16:51:02       -2
2019-04-24 17:00:23       7
2019-04-24 17:18:29       33
2019-04-24 17:51:19       37
2019-04-24 18:39:13       55
2019-04-24 18:44:14       79
2019-04-24 18:52:08       76
2019-04-24 18:52:17       75
2019-04-24 18:53:19       74
2019-04-24 18:53:43       73
2019-04-24 18:53:52       72
2019-04-24 18:53:52       72
2019-04-24 18:59:50       73
2019-04-24 18:59:53       74
2019-04-24 19:00:02       75
2019-04-24 19:00:05       76
2019-04-24 19:00:10       77
2019-04-24 19:00:14       78
2019-04-24 19:00:19       79
2019-04-24 19:00:25       80
2019-04-24 19:00:29       81
2019-04-24 19:00:40       82
2019-04-24 19:00:43       83
2019-04-24 19:03:01       84
2019-04-24 19:03:07       85
2019-04-24 19:03:38       86
2019-04-24 19:03:44       87
2019-04-24 19:03:50       88
2019-04-24 19:03:58       89
2019-04-24 19:04:08       90
2019-04-24 19:04:14       91
2019-04-24 19:04:22       92
2019-04-24 19:04:26       93
2019-04-24 19:04:38       92
2019-04-24 19:04:49       93
2019-04-24 19:04:53       92
2019-04-24 19:05:02       93
2019-04-24 19:05:20       94
2019-04-24 19:05:34       95
2019-04-24 19:05:38       96
2019-04-24 19:05:50       97
2019-04-24 19:05:59       98
2019-04-24 19:09:16       99
2019-04-24 19:09:32       100
2019-04-24 19:09:42       101
2019-04-24 19:09:43       102
2019-04-24 19:09:57       103
2019-04-24 19:09:58       104
2019-04-24 19:10:16       105
2019-04-24 19:10:17       106
2019-04-24 19:10:41       107
2019-04-24 19:10:47       108
2019-04-24 19:10:47       109
2019-04-24 19:10:53       110
2019-04-24 19:10:53       111
2019-04-24 19:10:57       112
2019-04-24 19:11:05       113
2019-04-24 19:11:05       114
2019-04-24 19:12:02       115
2019-04-24 19:12:05       116
2019-04-24 19:12:28       117
2019-04-24 19:12:29       118
2019-04-24 19:12:44       119
2019-04-24 19:15:49       120
2019-04-24 19:15:55       121
2019-04-24 19:16:07       122
2019-04-24 19:16:10       123
2019-04-24 19:16:17       124
2019-04-24 19:16:28       125
2019-04-24 19:16:43       126
2019-04-24 19:16:50       127
2019-04-24 19:16:52       128
2019-04-24 19:17:05       129
2019-04-24 19:17:13       130
2019-04-24 19:17:25       131
2019-04-24 19:17:26       132
2019-04-24 19:17:38       133
2019-04-24 19:17:52       134
2019-04-24 19:17:53       135
2019-04-24 19:18:19       136
2019-04-24 19:18:20       137
2019-04-24 19:18:32       138
2019-04-24 19:18:34       139
2019-04-24 19:18:43       140
2019-04-24 19:19:16       139
2019-04-24 19:19:25       138
2019-04-24 19:19:35       137
2019-04-24 19:19:37       136
2019-04-24 19:19:37       136
2019-04-24 19:19:46       135
2019-04-24 19:19:46       135
2019-04-24 19:19:55       134
2019-04-24 19:19:55       134
2019-04-24 19:20:19       135
2019-04-24 19:20:19       135
2019-04-24 19:20:36       136
2019-04-24 19:20:36       136
2019-04-24 19:20:50       137
2019-04-24 19:20:50       137
2019-04-24 19:21:07       138
2019-04-24 19:21:07       138
2019-04-24 19:21:07       138
2019-04-24 19:21:07       138
2019-04-24 19:26:01       139
2019-04-24 19:26:01       139
2019-04-24 19:26:04       140
2019-04-24 19:26:04       140
2019-04-24 19:30:28       141
2019-04-24 19:30:28       141
2019-04-24 19:30:40       142
2019-04-24 19:30:40       142
2019-04-24 19:30:43       143
2019-04-24 19:30:43       143
2019-04-24 19:31:17       144
2019-04-24 19:31:17       144
2019-04-24 19:31:20       145
2019-04-24 19:31:20       145
2019-04-24 19:32:29       146
2019-04-24 19:32:29       146
2019-04-24 19:33:08       147
2019-04-24 19:33:08       147
2019-04-24 19:33:11       148
2019-04-24 19:33:11       148
2019-04-24 19:35:37       149
2019-04-24 19:35:37       149
2019-04-24 19:35:40       150
2019-04-24 19:35:40       150
2019-04-24 19:37:01       151
2019-04-24 19:37:01       151
2019-04-24 19:37:04       152
2019-04-24 19:37:04       152
2019-04-24 19:39:43       153
2019-04-24 19:39:43       153
2019-04-24 19:39:52       154
2019-04-24 19:39:52       154
2019-04-24 19:40:02       155
2019-04-24 19:40:02       155
2019-04-24 19:40:04       156
2019-04-24 19:40:04       156
2019-04-24 19:40:20       157
2019-04-24 19:40:20       157
2019-04-24 19:40:23       158
2019-04-24 19:40:23       158
2019-04-24 19:40:34       159
2019-04-24 19:40:34       159
2019-04-24 19:40:35       160
2019-04-24 19:40:35       160
2019-04-24 19:40:59       161
2019-04-24 19:40:59       161
2019-04-24 19:41:02       162
2019-04-24 19:41:02       162
2019-04-24 19:41:43       163
2019-04-24 19:41:43       163
2019-04-24 19:41:44       164
2019-04-24 19:41:44       164
2019-04-24 19:42:07       165
2019-04-24 19:42:07       165
2019-04-24 19:42:08       166
2019-04-24 19:42:08       166
2019-04-24 19:48:05       167
2019-04-24 19:48:05       167
2019-04-24 19:48:08       168
2019-04-24 19:48:08       168
2019-04-24 19:48:26       169
2019-04-24 19:48:26       169
2019-04-24 19:48:37       170
2019-04-24 19:48:37       170
2019-04-24 19:48:47       171
2019-04-24 19:48:47       171
2019-04-24 19:48:55       172
2019-04-24 19:48:55       172
2019-04-24 19:48:55       172
2019-04-24 19:52:28       173
2019-04-24 19:52:28       173
2019-04-24 19:52:29       174
2019-04-24 19:52:29       174
2019-04-24 19:52:46       175
2019-04-24 19:52:46       175
2019-04-24 19:52:50       176
2019-04-24 19:52:50       176
2019-04-24 19:52:56       177
2019-04-24 19:52:56       177
2019-04-24 19:53:01       178
2019-04-24 19:53:01       178
2019-04-24 19:53:32       179
2019-04-24 19:53:32       179
2019-04-24 19:53:35       180
2019-04-24 19:53:35       180
2019-04-24 19:53:43       181
2019-04-24 19:53:43       181
2019-04-24 19:53:49       182
2019-04-24 19:53:49       182
2019-04-24 19:53:55       183
2019-04-24 19:53:55       183
2019-04-24 19:54:01       184
2019-04-24 19:54:01       184
2019-04-24 19:54:08       185
2019-04-24 19:54:08       185
2019-04-24 19:54:28       186
2019-04-24 19:54:28       186
2019-04-24 19:54:29       187
2019-04-24 19:54:29       187
2019-04-24 19:54:40       188
2019-04-24 19:54:40       188
2019-04-24 19:55:31       189
2019-04-24 19:55:31       189
2019-04-24 19:55:37       190
2019-04-24 19:55:37       190
2019-04-24 19:55:51       191
2019-04-24 19:55:51       191
2019-04-24 19:55:58       192
2019-04-24 19:55:58       192
2019-04-24 19:56:12       193
2019-04-24 19:56:12       193
2019-04-24 19:56:17       194
2019-04-24 19:56:17       194
2019-04-24 19:56:22       195
2019-04-24 19:56:22       195
2019-04-24 19:56:27       196
2019-04-24 19:56:27       196
2019-04-24 19:56:29       197
2019-04-24 19:56:29       197
2019-04-24 19:56:36       198
2019-04-24 19:56:36       198
2019-04-24 19:56:40       199
2019-04-24 19:56:40       199
2019-04-24 19:56:46       200
2019-04-24 19:56:46       200
2019-04-24 19:56:58       201
2019-04-24 19:56:58       201
2019-04-24 19:57:09       202
2019-04-24 19:57:09       202
2019-04-24 19:57:17       203
2019-04-24 19:57:17       203
2019-04-24 19:57:22       204
2019-04-24 19:57:22       204
2019-04-24 19:57:34       205
2019-04-24 19:57:34       205
2019-04-24 19:57:36       206
2019-04-24 19:57:36       206
2019-04-24 19:57:50       207
2019-04-24 19:57:50       207
2019-04-24 19:57:53       208
2019-04-24 19:57:53       208
2019-04-24 19:58:02       209
2019-04-24 19:58:02       209
2019-04-24 19:58:07       210
2019-04-24 19:58:07       210
2019-04-24 19:58:16       211
2019-04-24 19:58:16       211
2019-04-24 19:58:20       212
2019-04-24 19:58:20       212
2019-04-24 19:58:36       213
2019-04-24 19:58:36       213
2019-04-24 19:58:40       214
2019-04-24 19:58:40       214
2019-04-24 19:58:48       215
2019-04-24 19:58:48       215
2019-04-24 19:58:51       216
2019-04-24 19:58:51       216
2019-04-24 19:59:11       217
2019-04-24 19:59:11       217
2019-04-24 19:59:14       218
2019-04-24 19:59:14       218
2019-04-24 19:59:26       219
2019-04-24 19:59:26       219
2019-04-24 19:59:28       220
2019-04-24 19:59:28       220
2019-04-24 20:01:41       221
2019-04-24 20:01:41       221
2019-04-24 20:01:43       220
2019-04-24 20:01:43       220
2019-04-24 20:01:51       221
2019-04-24 20:01:51       221
2019-04-24 20:01:53       220
2019-04-24 20:01:53       220
2019-04-24 20:02:15       221
2019-04-24 20:02:15       221
2019-04-24 20:02:16       220
2019-04-24 20:02:16       220
2019-04-24 20:02:23       219
2019-04-24 20:02:23       219
2019-04-24 20:02:29       218
2019-04-24 20:02:29       218
2019-04-24 20:02:30       219
2019-04-24 20:02:30       219
2019-04-24 20:03:13       218
2019-04-24 20:03:13       218
2019-04-24 20:03:14       219
2019-04-24 20:03:14       219
2019-04-24 20:03:14       219
2019-04-24 20:13:29       220
2019-04-24 20:13:29       220
2019-04-24 20:13:30       221
2019-04-24 20:13:30       221
2019-04-24 20:16:16       222
2019-04-24 20:16:16       222
2019-04-24 20:16:17       223
2019-04-24 20:16:17       223
2019-04-24 20:16:58       224
2019-04-24 20:16:58       224
2019-04-24 20:16:59       225
2019-04-24 20:16:59       225
2019-04-24 20:17:50       226
2019-04-24 20:17:50       226
2019-04-24 20:17:58       227
2019-04-24 20:17:58       227
2019-04-24 20:18:24       228
2019-04-24 20:18:24       228
2019-04-24 20:21:39       229
2019-04-24 20:21:39       229
2019-04-24 20:23:20       230
2019-04-24 20:23:20       230
2019-04-24 20:23:32       231
2019-04-24 20:23:32       231
2019-04-24 20:23:41       232
2019-04-24 20:23:41       232
2019-04-24 20:24:09       233
2019-04-24 20:24:09       233
2019-04-24 20:24:10       234
2019-04-24 20:24:10       234
2019-04-24 20:24:45       235
2019-04-24 20:24:45       235
2019-04-24 20:24:46       236
2019-04-24 20:24:46       236
2019-04-24 20:42:10       237
2019-04-24 20:42:10       237
2019-04-24 20:42:11       238
2019-04-24 20:42:11       238
2019-04-24 20:44:21       239
2019-04-24 20:44:21       239
